year,country,cluster,pop,life_expect,fertility
2000,Argentina,Americas,37497728,74.34,2.35
2000,Aruba,Americas,69539,73.451,2.124
2000,Bahamas,Americas,290075,71.068,2.1111
2000,Barbados,Americas,273483,75.97,1.5
2000,Bolivia,Americas,8152620,63.883,3.9585
2000,Brazil,Americas,175552771,71.006,2.345
2000,Canada,Americas,31278097,79.77,1.522
2000,Chile,Americas,15153450,77.86,2.0
2000,Colombia,Americas,39685655,71.682,2.4705
2000,Costa Rica,Americas,3710558,78.123,2.2815
2000,Cuba,Americas,11134273,77.158,1.63
2000,Dominican Republic,Americas,8385828,70.847,2.95
2000,Ecuador,Americas,12505204,74.173,2.8175
2000,El Salvador,Americas,6122515,70.734,2.883
2000,Grenada,Americas,89312,67.746,2.429
2000,Haiti,Americas,7306302,58.137,4.0
2000,Jamaica,Americas,2615467,72.047,2.628
2000,Mexico,Americas,99926620,74.902,2.4005
2000,Peru,Americas,25979722,69.906,2.7005
2000,United States,Americas,282338631,77.31,2.038
2000,Venezuela,Americas,23542649,72.766,2.723
