year,country,cluster,pop,life_expect,fertility
1955,Australia,East Asia & Pacific,9277087,70.33,3.406
2005,Australia,East Asia & Pacific,20090437,81.235,1.788
1955,China,East Asia & Pacific,608655000,50.54896,5.59
2005,China,East Asia & Pacific,1303182268,72.961,1.725
1955,Hong Kong,East Asia & Pacific,2490400,64.75,4.72
2005,Hong Kong,East Asia & Pacific,6898686,82.208,0.966
1955,Indonesia,East Asia & Pacific,86807000,39.918,5.672
2005,Indonesia,East Asia & Pacific,218465000,70.65,2.182
1955,Japan,East Asia & Pacific,89815060,65.5,2.08
2005,Japan,East Asia & Pacific,127417244,82.603,1.27
1955,South Korea,East Asia & Pacific,8839427,54.081,3.8
2005,South Korea,East Asia & Pacific,22912177,67.297,1.85
1955,North Korea,East Asia & Pacific,21551834,52.681,6.332
2005,North Korea,East Asia & Pacific,48640671,78.623,1.21
1955,New Zealand,East Asia & Pacific,2136168,70.26,4.07
2005,New Zealand,East Asia & Pacific,4035461,80.204,1.994
1955,Philippines,East Asia & Pacific,24553055,51.334,7.13
2005,Philippines,East Asia & Pacific,87857473,71.688,3.2327
