year,country,cluster,pop,life_expect,fertility
1955,Afghanistan,South Asia,8891209,30.332,7.7
1960,Afghanistan,South Asia,9829450,31.997,7.7
1965,Afghanistan,South Asia,10997885,34.02,7.7
1970,Afghanistan,South Asia,12430623,36.088,7.7
1975,Afghanistan,South Asia,14132019,38.438,7.7
1980,Afghanistan,South Asia,15112149,39.854,7.8
1985,Afghanistan,South Asia,13796928,40.822,7.9
1990,Afghanistan,South Asia,14669339,41.674,8.0
1995,Afghanistan,South Asia,20881480,41.763,8.0
2000,Afghanistan,South Asia,23898198,42.129,7.4792
2005,Afghanistan,South Asia,29928987,43.828,7.0685
1955,Bangladesh,South Asia,49601520,39.348,6.76
1960,Bangladesh,South Asia,54621538,41.216,6.85
1965,Bangladesh,South Asia,60332117,43.453,6.6
1970,Bangladesh,South Asia,67402621,45.252,6.15
1975,Bangladesh,South Asia,76253310,46.923,5.6
1980,Bangladesh,South Asia,88076996,50.009,5.25
1985,Bangladesh,South Asia,99752733,52.819,4.629
1990,Bangladesh,South Asia,109896945,56.018,4.117
1995,Bangladesh,South Asia,119186448,59.412,3.5042999999999997
2000,Bangladesh,South Asia,130406594,62.013,3.224
2005,Bangladesh,South Asia,144319628,64.062,2.826
1955,India,South Asia,393000000,40.249,5.8961
1960,India,South Asia,434000000,43.605,5.8216
1965,India,South Asia,485000000,47.193,5.6058
1970,India,South Asia,541000000,50.651,5.264
1975,India,South Asia,607000000,54.208,4.8888
1980,India,South Asia,679000000,56.596,4.4975
1985,India,South Asia,755000000,58.553,4.15
1990,India,South Asia,839000000,60.223,3.8648
1995,India,South Asia,927000000,61.765,3.4551
2000,India,South Asia,1007702000,62.879,3.1132
2005,India,South Asia,1080264388,64.698,2.8073
1955,Pakistan,South Asia,44434445,45.557,6.6
1960,Pakistan,South Asia,50386898,47.67,6.6
1965,Pakistan,South Asia,57494940,49.8,6.6
1970,Pakistan,South Asia,65705964,51.929,6.6
1975,Pakistan,South Asia,74711541,54.043,6.6
1980,Pakistan,South Asia,85219117,56.158,6.6
1985,Pakistan,South Asia,99060352,58.245,6.66
1990,Pakistan,South Asia,114578478,60.838,5.8
1995,Pakistan,South Asia,128690285,61.818,4.9596
2000,Pakistan,South Asia,146342958,63.61,3.9936
2005,Pakistan,South Asia,162419946,65.483,3.5211
